domain,text,aspect,category,polarity,type
hotel,"the hotel is quaint with a lovely terrace and nice hosts , but seemed as if this place was more geared towards americans , with some surprise at guests that are not americans ( i . e . us )  .","['hotel', 'terrace', 'hosts']","['service#general', 'hotel#general', 'service#general']","['positive', 'positive', 'positive']",explicit
hotel,after requesting a room change again i was given another average room by front desk staff who seem reluctant to help .,"['room', 'front desk staff']","['rooms#general', 'service#general']","['negative', 'negative']",explicit
hotel,"i took my son to fenway for his birthday and we stayed as a treat at the eliot and had dinner the after the game at uni , the sashimi bar off the lobby of the hotel where my son spotted jim brady .",['the eliot'],['hotel#general'],['positive'],explicit
hotel,"were extremely helpful , from the concierge to the bell - boys .","['concierge', 'bell-boys']","['service#general', 'service#general']","['positive', 'positive']",explicit
hotel,"decent .  .  . good location excellent location on las ramblas , easy access to transportation .","['location', 'location']","['location#general', 'location#general']","['positive', 'positive']",explicit
hotel,"worst hotel ever seen very old and badly maintained hotel , just tidy .","['hotel', 'hotel', 'hotel', 'hotel']","['hotel#general', 'hotel#design_features', 'hotel#quality', 'hotel#cleanliness']","['negative', 'negative', 'negative', 'neutral']",explicit
hotel,a wonderful three night stay with my husband and daughter .,none,['hotel#comfort'],['positive'],implicit
hotel,"my hotel room had what i ' d call a partial ocean view , you can see the ocean between several other hotels that block out most of your view .",['room'],['rooms#design_features'],['positive'],explicit
hotel,comfort inn condado,none,['null'],['null'],objective
hotel,we enjoyed a very nice dinner at the hotel restaurant as well .,"['dinner', 'dinner']","['food_drinks#quality', 'food_drinks#quality']","['positive', 'positive']",explicit
hotel,the free breakfast buffet has a good selection as well .,['breakfast buffet'],['food_drinks#prices'],['positive'],explicit
hotel,great bar across the street and a short walk to times square .,none,['location#general'],['positive'],implicit
hotel,showed us the best options which were outside the hotels services.,none,['null'],['null'],objective
hotel,only good things to say.,none,['null'],['null'],objective
hotel,this is the best bargain in london !  !,none,['hotel#prices'],['positive'],implicit
hotel,"from the moment we arrived , the staff made us feel special and welcome .",['staff'],['service#general'],['positive'],explicit
hotel,"the hotel staff are friendly and helpful , the rooms are lovely as are the baths and the amenities .","['staff', 'rooms', 'rooms', 'amenities']","['service#general', 'rooms#general', 'rooms#design_features', 'room_amenities#general']","['positive', 'positive', 'positive', 'positive']",explicit
hotel,the room was very small but very clean .,"['room', 'room']","['rooms#design_features', 'rooms#cleanliness']","['negative', 'positive']",explicit
hotel,you made it just the little getaway that i needed !,none,['hotel#general'],['positive'],implicit
hotel,"try out the revolving restaurant ' the view ' in the marriott marquis , times square , fab views and the foods good too !","['null', 'foods', 'revolving restaurant']","['location#general', 'food_drinks#quality', 'facilities#miscellaneous']","['positive', 'positive', 'positive']",mixed
hotel,"it is very comfortable , modern hotel .","['hotel', 'hotel']","['hotel#comfort', 'hotel#design_features']","['positive', 'positive']",explicit
hotel,"although the bathroom in my room seemed a little dated compared to others in the hotel , the whole room very clean and comfortable offering excellent value for money .","['bathroom', 'room', 'room', 'room']","['rooms#design_features', 'rooms#cleanliness', 'polarity#positive', 'rooms#prices']","['negative', 'positive', 'positive', 'positive']",explicit
hotel,the room was awesome and location was perfect .,"['room', 'location']","['rooms#general', 'location#general']","['positive', 'positive']",explicit
hotel,ny hotel rooms are known for being small and nasty until you hit some very premium pricing.,none,['null'],['null'],objective
hotel,memorable stay !,none,['hotel#general'],['positive'],implicit
hotel,on the upside : the room was clean / comfortable and the banquet food quite excellent .,"['room', 'room', 'banquet food']","['rooms#cleanliness', 'rooms#comfort', 'food_drinks#quality']","['positive', 'positive', 'positive']",explicit
hotel,"service was good , but still not compable to five star hotels like the peninsula or four seasons .",['service'],['service#general'],['positive'],explicit
hotel,"the location is good , the room was great , the bed comfortable , the staff friendly without exception .","['location', 'room', 'bed', 'staff']","['location#general', 'rooms#general', 'rooms#comfort', 'service#general']","['positive', 'positive', 'positive', 'positive']",explicit
hotel,"be aware that it will cost $ 30 to park your car , even if you self - park .",none,['facilities#prices'],['negative'],implicit
hotel,"the continental breakfast is a good start to the day including waffles , breakfast croisants , cereal , toast and huge muffins .",['breakfast'],['food_drinks#quality'],['positive'],explicit
hotel,we stayed for 4 nights at the argonaut - our second stay here .,['the argonaut'],['hotel#general'],['positive'],explicit
hotel,wonderful!,none,['null'],['null'],objective
hotel,but it's more like a 3 star.,none,['null'],['null'],objective
hotel,a little small but clean comfortable and moderndon ' t be put off by reviewers who say location is a little dodgy .  .  .,none,"['hotel#cleanliness', 'hotel#comfort', 'hotel#design_features']","['positive', 'positive', 'positive']",implicit
hotel,bar expensive and you are better off taking breakfast in a local bar than the hotel ( 15 euro buffet anyone ?  )  .,['bar'],['food_drinks#prices'],['negative'],explicit
hotel,we did the jfk museum in downtown dallas before heading over to fort worth stockyards and then to southfork ranch so you can do these attractions in a day from this base.,none,['null'],['null'],objective
hotel,room service took a while to come but other than that everything about this hotel is top notch .,['hotel'],['hotel#general'],['positive'],explicit
hotel,"the location was great - down the street from the duomo , street markets , and within walking distance of the train station .","['location', 'location']","['location#general', 'location#general']","['positive', 'positive']",explicit
hotel,good place,none,['null'],['null'],objective
hotel,great transit hotel,['hotel'],['hotel#general'],['positive'],explicit
hotel,i liked the mosser,none,['null'],['null'],objective
hotel,it is just super .,none,['hotel#general'],['positive'],implicit
hotel,"the actual room is a perfectly adequate budget motel room , except that our room had a view of coit tower , transamerica building , and the rest of downtown sf .","['room', 'room', 'room']","['rooms#general', 'rooms#prices', 'rooms#general']","['positive', 'positive', 'positive']",explicit
hotel,we stayed at the sofitel april 4th and 5th .,['the sofitel'],['hotel#general'],['positive'],explicit
hotel,we had three rooms for five days (in both of the hotel's two buildings) and everyone was content.,none,['null'],['null'],objective
hotel,i do not think i would stay anywhere else .,none,['hotel#general'],['positive'],implicit
hotel,"it is in a great location , right next to chinatown , across the road from the sydney entertainment centre and a short walk from darling harbour .",['location'],['location#general'],['positive'],explicit
hotel,sq/red light).,none,['null'],['null'],objective
hotel,"also , the breakfast buffet the next morning",['breakfast'],['food_drinks#quality'],['positive'],explicit
hotel,this is a budget hotel in a good location central to everything .,"['hotel', 'hotel']","['hotel#prices', 'location#general']","['positive', 'positive']",explicit
hotel,stay here!,none,['null'],['null'],objective
hotel,i would surely recommend to my friends .,none,['hotel#general'],['positive'],implicit
hotel,"they recommended places to eat, especially la bola,and advised us how to get around madrid.",none,['null'],['null'],objective
hotel,the only good point is its location right on the dam place .,['location'],['location#general'],['positive'],explicit
hotel,top location !,['location'],['location#general'],['positive'],explicit
hotel,"this place has pseudo - hip styling flourishes that serve no purpose and dance music is piped into every conceivable public area ( gym , elevators , lobby , restrooms , etc .  )  .",none,['hotel#design_features'],['negative'],implicit
hotel,i would stay there again if i was on a budget and trying to save money .,none,['hotel#prices'],['positive'],implicit
hotel,slap bang in the middle of everything,none,['location#general'],['positive'],implicit
hotel,an enjoyable hotel i stayed here recently while attending activites at ucla .,['hotel'],['hotel#general'],['positive'],explicit
hotel,this is the place to stay !,none,['hotel#general'],['positive'],implicit
hotel,"i may have been ok with this had i known , but i did not see this anywhere when i booked using the hotel website .",['hotel'],['hotel#general'],['negative'],explicit
hotel,there are testimonies on the internet to this effect.,none,['null'],['null'],objective
hotel,"after reading the reviews on tripadvisor , my girl - friend and i decided to go for this hotel .",['hotel'],['hotel#general'],['positive'],explicit
hotel,we won ' t be back .,none,['hotel#general'],['negative'],implicit
hotel,"i really enjoyed the location , the hotel is great ( nice lobby , stylish rooms , good concierge service , etc )  .","['hotel', 'hotel', 'lobby', 'rooms', 'concierge service']","['hotel#general', 'location#general', 'facilities#general', 'rooms#design_features', 'service#general']","['positive', 'positive', 'positive', 'positive', 'positive']",explicit
hotel,"although they said the next day we could move rooms , they changed their minds after we had spent 30 mins packing all our things away in the morning , which was rather annoying .",none,['service#general'],['negative'],implicit
hotel,ice city shame about the hotel,['hotel'],['hotel#general'],['negative'],explicit
hotel,"room was very clean , the bed was huge , the buffet breakfast was brilliant and catered for every taste .","['room', 'null', 'buffet breakfast', 'null']","['rooms#cleanliness', 'room_amenities#design_features', 'food_drinks#quality', 'food_drinks#style_options']","['positive', 'positive', 'positive', 'positive']",mixed
hotel,breakfast was great .,['breakfast'],['food_drinks#quality'],['positive'],explicit
hotel,i would go again,none,['hotel#general'],['positive'],implicit
hotel,we had a wonderful stay .,none,['hotel#general'],['positive'],implicit
hotel,bargain stay,none,['hotel#prices'],['positive'],implicit
hotel,there is so much nostalgia and ambiance here.,none,['null'],['null'],objective
hotel,"the breakfast is nice , but not a bargain .",['breakfast'],['food_drinks#quality'],['positive'],explicit
hotel,"a charming , small hotel in an excellent position directly opposite the pantheon .","['hotel', 'hotel', 'hotel']","['hotel#general', 'hotel#design_features', 'location#general']","['positive', 'negative', 'positive']",explicit
hotel,"perfect location , perfect hotel , beautifull rooms , we stayed at the front hotel rooms , no noise from the gran via street .","['location', 'hotel', 'rooms', 'rooms']","['location#general', 'hotel#general', 'rooms#general', 'rooms#comfort']","['positive', 'positive', 'positive', 'positive']",explicit
hotel,i would definately stay here again .,none,['hotel#miscellaneous'],['positive'],implicit
hotel,was very sad to leave !,none,['hotel#general'],['positive'],implicit
hotel,stayed there with family and also for a rugby weekend.,none,['null'],['null'],objective
hotel,very helpful staff and great breakfast .,"['staff', 'breakfast']","['service#general', 'food_drinks#quality']","['positive', 'positive']",explicit
hotel,however my boyfriend treated me to a valentine weekend in amsterdam.,none,['null'],['null'],objective
hotel,a walk to everything i read the reviews on this hotel after i had booked !  !  !  !,['hotel'],['location#general'],['positive'],explicit
hotel,"not pretentious at all , very comfortable .",none,['hotel#comfort'],['positive'],implicit
hotel,"a fine , relaxing experience .",none,['hotel#general'],['positive'],implicit
hotel,the staff was very professional .,['staff'],['service#general'],['positive'],explicit
hotel,this is a wonderful hotel .,['hotel'],['hotel#general'],['positive'],explicit
hotel,great room and nice place to say we only got to stay one night here -  - we were on a two week trip out west -  - wished we could have stayed longer .,"['room', 'null']","['rooms#general', 'hotel#general']","['positive', 'positive']",mixed
hotel,"i spent a week there and if you ' re looking for moderatly priced accommodation in an excellent location , i would thoroughly recommend you stay here .","['null', 'location', 'null']","['hotel#prices', 'location#general', 'hotel#general']","['positive', 'positive', 'positive']",mixed
hotel,"it did have a little sitting area , with two chairs and a table , but the beds were rock hard ( you want to ease down on them gently , lest you break a body part )  .",none,"['room_amenities#design_features', 'facilities#general']","['negative', 'positive']",implicit
hotel,this was our oasis we stayed at this hotel from 06/27 until 06/30 and found it perfect.,none,['null'],['null'],objective
hotel,intimate hotel with great service,"['hotel', 'service']","['hotel#general', 'service#general']","['positive', 'positive']",explicit
hotel,we stayed at the silver cloud pre - cruise .,['silver cloud pre-cruise'],['hotel#general'],['positive'],explicit
hotel,speciallocation idealwill return asap,none,['null'],['null'],objective
hotel,i was not the only one complaining during our visit.,none,['null'],['null'],objective
hotel,first class hotel,['hotel'],['hotel#general'],['positive'],explicit
hotel,nice the paris hotel in florence is much more than a nice and particular hotel ! we booked the paris hotel in florence through our travel agency which suggested it as a very nice and particular hotel : the paris hotel is much more than a nice and particular hotel ! breakfast room is unique with its frescoes of the xvi century as the atmosphere in every part of the hotel .,"['paris hotel', 'paris hotel', 'paris hotel', 'breakfast room']","['hotel#general', 'hotel#general', 'hotel#general', 'facilities#design_features']","['positive', 'positive', 'positive', 'positive']",explicit
hotel,we had a great time at hotel du cadran .,['hotel du cadran'],['hotel#general'],['positive'],explicit
hotel,"the room was ok , but you ' re in ny , go out and explore .",['room'],['rooms#general'],['neutral'],explicit
hotel,was only sad it was a one night stand at the end of our vacation!,none,['null'],['null'],objective
hotel,"the hotel鈥檚 location is great , convenient to the train station , shopping and lots of restaurants .","['location', 'location']","['location#general', 'location#general']","['positive', 'positive']",explicit
hotel,although it is not especially plush the moore hotel is spotlessly clean and the staff were very helpful .,"['moore hotel', 'staff']","['hotel#cleanliness', 'service#general']","['positive', 'positive']",explicit
hotel,absolutely would stay here again .,none,['hotel#general'],['positive'],implicit
hotel,"concierge and all the staff very helpful , however i did find the cost of drinks a little on the steep side , as was breakfast .","['concierge', 'staff', 'drinks', 'breakfast']","['service#general', 'service#general', 'food_drinks#prices', 'food_drinks#prices']","['positive', 'positive', 'negative', 'negative']",explicit
hotel,very good hotel,['hotel'],['hotel#general'],['positive'],explicit
hotel,is a short list :  - stains all over the carpet - hairs and other dirt all over the bathroom - ironboard and iron,"['carpet', 'bathroom', 'bathroom', 'ironboard', 'ironboard', 'iron', 'iron']","['rooms#cleanliness', 'rooms#cleanliness', 'rooms#cleanliness', 'room_amenities#cleanliness', 'room_amenities#cleanliness', 'room_amenities#cleanliness', 'room_amenities#cleanliness']","['negative', 'negative', 'negative', 'negative', 'negative', 'negative', 'negative']",explicit
hotel,we staid at the renaissance for 4 nights during our familly trip to the usa last year and it has been a great experience .,['the renaissance'],['hotel#general'],['positive'],explicit
hotel,pretty good .  .  .,none,['hotel#general'],['positive'],implicit
hotel,"of course at check out , they upped my rate even after i reminded them and they assured that i was getting the the lower rate but charged my credit card more .",none,"['hotel#prices', 'service#general']","['negative', 'negative']",implicit
hotel,"i ' m so glad i did , the location is fantastic !",['location'],['location#general'],['positive'],explicit
hotel,we will stay there again .,none,['hotel#miscellaneous'],['positive'],implicit
hotel,furthermore facing the street and canal you are assured of sleepless nights from all the party goers at nearby rembrandtplein .,none,['rooms#comfort'],['negative'],implicit
hotel,tv was an older crt model .,['tv'],['room_amenities#design_features'],['negative'],explicit
hotel,amazing park plaza wallstreet berlin,['park plaza wallstreet berlin'],['hotel#general'],['positive'],explicit
hotel,recomended,none,['hotel#general'],['positive'],implicit
hotel,we will definitely stay here when we come back .,none,['hotel#general'],['positive'],implicit
hotel,"the concierge , the doorman and the cleaning staff were very friendly and attentive .","['concierge', 'concierge', 'doorman', 'doorman', 'cleaning staff', 'cleaning staff']","['service#general', 'location#general', 'location#general', 'location#general', 'service#general', 'service#general']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive']",explicit
hotel,it was nicer than most places i have stayed in new york - and the people were a whole lot friendlier .,none,"['hotel#comfort', 'service#general']","['positive', 'positive']",implicit
hotel,a good choice hotel for anyone who likes quality at an affordable price .,['hotel'],['hotel#miscellaneous'],['positive'],explicit
hotel,"the staff at this hotel all of the way up the manager are totally , totally incompetent , definitely stay away !",['staff'],['service#general'],['negative'],explicit
hotel,the black out blinds were fantastic for sleeping !,none,['rooms#comfort'],['positive'],implicit
hotel,"the hotel is situated right next to dam sqare , in a quiet area .",['hotel'],['location#general'],['positive'],explicit
hotel,"xcellent hotel and city just come back from beijing , stayed 7 nights at the crown plaza , this is an excellent hotel , good location , spotless rooms , great service especially in the champagne bar !","['hotel', 'hotel', 'location', 'rooms', 'service']","['hotel#general', 'hotel#general', 'location#general', 'service#general', 'service#general']","['positive', 'positive', 'positive', 'positive', 'positive']",explicit
hotel,museum island a short stroll ; easy public transit a few steps from the door .,none,['location#general'],['positive'],implicit
hotel,he said the best he could offer was 2 free breakfast in there restaraunt which is about what soggy cold bacon and sloppy eggs are worth.for anyone wanting to stay at a decent hotel at the airport pick the holiday inn,none,['null'],['null'],objective
hotel,"the only one small drawback was no restaurant, however lots of good cafes in the area.",none,['null'],['null'],objective
hotel,steve mcgarrett.,none,['null'],['null'],objective
hotel,we could not ask for more.,none,['null'],['null'],objective
hotel,worth the price !,none,['hotel#prices'],['positive'],implicit
hotel,each of our requests were taken care of immediately .,['requests'],['service#general'],['positive'],explicit
hotel,everything was perfect and exceded our expectations .,none,['hotel#general'],['positive'],implicit
hotel,"my family of four , including two teenage boys stayed at the boston park plaza for 5 nights and really enjoyed our stay .",['boston park plaza'],['hotel#general'],['positive'],explicit
hotel,fresh rooms ! a hotel that shows the way .,"['rooms', 'hotel']","['rooms#general', 'hotel#general']","['positive', 'positive']",explicit
hotel,loved the hotel .,['hotel'],['hotel#general'],['positive'],explicit
hotel,ok there is street noise but then again you are in the centre of a city and the lift can be heard but not enough to disturb you .,none,"['hotel#comfort', 'hotel#comfort']","['negative', 'neutral']",implicit
hotel,you will not be dissapointed if you stay here !,none,['hotel#general'],['positive'],implicit
hotel,the room was wonderful from the bed to the incredible shower / bath .,"['room', 'bed', 'shower/bath']","['rooms#general', 'rooms#general', 'rooms#general']","['positive', 'positive', 'positive']",explicit
hotel,"it has a friendly , professional staff in every function important to guests : reception , breakfast and cleaning .","['staff', 'staff']","['service#general', 'service#general']","['positive', 'positive']",explicit
hotel,"my family and i stayed here , and i really disliked the hotel .",['hotel'],['hotel#general'],['negative'],explicit
hotel,stayed here from may 16-23.,none,['null'],['null'],objective
hotel,"the location is terrific - a block from cable car , 2 blocks from union square .",['location'],['location#general'],['positive'],explicit
hotel,i would stay at this hotel again and would certainly recommend it .,['hotel'],['hotel#miscellaneous'],['positive'],explicit
hotel,front desk staff were friendly and helpful as were the bar and restaurant staff .,"['bar and restaurant staff', 'front desk staff', 'front desk staff']","['service#general', 'service#general', 'service#general']","['positive', 'positive', 'positive']",explicit
hotel,the location is nearly unbeatable .,['location'],['location#general'],['positive'],explicit
hotel,"all ended well , but customer service was amazingly bad .",['customer service'],['service#general'],['negative'],explicit
hotel,"lastly , booking at the regency club level meant a room in the top 6 floors with ocean view as well as buffet breakfast every morning and cocktails and happy hour snacks ( like chicken wings , kalua pork , shrimp ) every night !",['regency club'],['food_drinks#style_options'],['positive'],explicit
hotel,"service is very nice , views are amazing .","['service', 'null']","['service#general', 'rooms#general']","['positive', 'positive']",mixed
hotel,great value hard to imagine better value for the money .,none,"['hotel#prices', 'hotel#prices']","['positive', 'positive']",implicit
hotel,lean and convenient!,none,['null'],['null'],objective
hotel,"i found this hotel to be very stylish and clean , supported by great customer service .","['hotel', 'hotel', 'customer service']","['hotel#design_features', 'hotel#cleanliness', 'service#general']","['positive', 'positive', 'positive']",explicit
hotel,a home in sydney,none,['null'],['null'],objective
hotel,the universal gave us everything we needed for a weeks sightseeing in barcelona :,none,['null'],['null'],objective
hotel,having our own pool was fabulous .,['pool'],['facilities#general'],['positive'],explicit
hotel,the hotel is a little tired however they are working on that,['hotel'],['hotel#design_features'],['negative'],explicit
hotel,my wife and i enjoyed staying at this excellent hotel and will definitely stay there again whenever we are in los angeles .,"['hotel', 'hotel', 'hotel']","['hotel#general', 'hotel#general', 'hotel#general']","['positive', 'positive', 'positive']",explicit
hotel,on the basis of the reviews on this site we booked the alicia and were not disappointed in the least .,['alicia'],['hotel#general'],['positive'],explicit
hotel,the hotels cancellation web - page is non - responsive and my hotel - issued booking number is too many digits to fit in the dialog box .,['hotels'],['hotel#general'],['negative'],explicit
hotel,fabulous we stayed at the fantastic raddisson sas berlin over the new year 04 / 05 and it ' s simply one of the best hotels i ' ve ever stayed in !  !  !,"['raddisson sas berlin', 'hotels']","['hotel#general', 'hotel#general']","['positive', 'positive']",explicit
hotel,trolly from outside to fishermans warf.,none,['null'],['null'],objective
hotel,"this hotel is in a perfect location , and what better way to enjoy it than to go back for a swim and sauna at the end of a busy day .",['location'],['location#general'],['positive'],explicit
hotel,the location of the hotel is great as well,['location'],['location#general'],['positive'],explicit
hotel,"the location , the rooms , the outdoor rooftop living area were all perfect for a relaxing and memorable stay in florence .","['location', 'rooms', 'outdoor rooftop living area']","['location#general', 'rooms#general', 'facilities#general']","['positive', 'positive', 'positive']",explicit
hotel,"the only complaint i can think of... it was my understanding that parking was included, but we had to pay $7 a night instead.",none,['null'],['null'],objective
hotel,good location .,['location'],['location#general'],['positive'],explicit
hotel,"if you ' re leisure traveling , there are other great places to stay in the same rate level with more character , but for extended trips it can ' t be beat for the price and comfort .",none,"['hotel#prices', 'hotel#comfort']","['positive', 'positive']",implicit
hotel,"the hotel is in a up and coming area of berlin , where people are on the go 24 / 7 - its great for nightlife .",['hotel'],['location#general'],['positive'],explicit
hotel,the room was small but very stylish and spotless .,"['room', 'room', 'room']","['rooms#design_features', 'rooms#design_features', 'rooms#cleanliness']","['neutral', 'positive', 'positive']",explicit
hotel,"still , it was worth the trip to the restaurant just to take photos .",['restaurant'],['facilities#general'],['neutral'],explicit
hotel,highly recommend this hotel !  !,['hotel'],['hotel#general'],['positive'],explicit
hotel,"the rooms are little dark , but other than that it was a nice stay .","['rooms', 'rooms']","['rooms#design_features', 'rooms#general']","['neutral', 'positive']",explicit
hotel,the hotel has a very good location and the area is quiet and decent .,"['location', 'location', 'location']","['location#general', 'location#general', 'location#general']","['positive', 'positive', 'positive']",explicit
hotel,the lobby and rooms are very nice,['rooms'],['rooms#general'],['positive'],explicit
hotel,well i can say this about the grand bahia pricipe,none,['null'],['null'],objective
hotel,the staff are friendly .,['staff'],['service#general'],['positive'],explicit
hotel,i took bart from the airport and highly recommend it over taking a $40 or more taxi ride.,none,['null'],['null'],objective
hotel,"we are guest in the hotel , parking should be free !  !  !  !",['hotel'],['facilities#general'],['neutral'],explicit
hotel,the surrounding area is undergoing a great deal of building and renovation so currently it is noisy ; i am sure it will improve in the next few years .,none,['hotel#comfort'],['negative'],implicit
hotel,great little hotel,['hotel'],['hotel#general'],['positive'],explicit
hotel,"from the concerige services, room decor, frette linens, club level amenities, central park location/view and overall luxury melted our hearts with pleasure.",none,['null'],['null'],objective
hotel,"the staff was super - friendly , especially the younger employees ; they took a personal interest in our stay and answered all our questions about the culture , places to go , etc .",['staff'],['service#general'],['positive'],explicit
hotel,"great hotel , very friendly staff , great location in florence .","['hotel', 'staff', 'location']","['hotel#general', 'service#general', 'location#general']","['positive', 'positive', 'positive']",explicit
hotel,we would most definitely return .,none,['hotel#general'],['positive'],implicit
hotel,the staff was pleasant but small .,"['staff', 'staff']","['service#general', 'service#general']","['positive', 'negative']",explicit
hotel,i would have rated it higher and i ' m very picky about hotel accomodations .,['hotel'],['hotel#quality'],['positive'],explicit
hotel,the breakfast is fine - but of course one day you ' ll want to go to cafe dumond for those amazing beignets .,['breakfast'],['food_drinks#quality'],['positive'],explicit
hotel,"rooms are excellent , well appointed and a descent size , pure luxury .","['rooms', 'rooms', 'rooms', 'rooms']","['rooms#general', 'rooms#general', 'rooms#design_features', 'rooms#general']","['positive', 'positive', 'positive', 'positive']",explicit
hotel,great value and location have stayed here several times and always try to book if possible .,"['value', 'location']","['hotel#prices', 'location#general']","['positive', 'positive']",explicit
hotel,i would stay again in the summer as it is not far from fenway and lots to see walking around .,none,['hotel#general'],['positive'],implicit
hotel,from the friendly reception to the excellent concierge .  . they were very patient despite my numerous demands !  !  !,"['reception', 'concierge']","['service#general', 'service#general']","['positive', 'positive']",explicit
hotel,"the location is good, right in waikiki, close by the honolulu zoo, the price is one of the lowest online, but you really don't know what it really like till you stay here.",none,['null'],['null'],objective
hotel,the staff will remember you and the rooms make you feel right at home .,['staff'],['service#general'],['positive'],explicit
hotel,affordably elegant,none,['hotel#prices'],['positive'],implicit
hotel,"ok , but the hotel is located ideally for tourism .",['hotel'],['location#general'],['positive'],explicit
hotel,ask for the rooms overlooking the ramblas .,['rooms'],['rooms#miscellaneous'],['positive'],explicit
hotel,"hotel opened up resources to outsiders on weekends , so you spent your time waiting to be served or dodging children in pools .",none,['service#general'],['negative'],implicit
hotel,you get more than you pay for !,none,['hotel#prices'],['positive'],implicit
hotel,what an endearing spot !,none,['hotel#general'],['positive'],implicit
hotel,"also, i have noticed that applevacations does not cover this resport any more!!!bill",none,['null'],['null'],objective
hotel,in-and-out parking allowed.,none,['null'],['null'],objective
hotel,awesome location .,['location'],['location#general'],['positive'],explicit
hotel,i get the feeling they don ' t overpay the staff .  .  .  .  .  .  .  .  .  .  .,['staff'],['service#general'],['neutral'],explicit
hotel,"great petit hotel , superb location !","['petit hotel', 'location']","['hotel#general', 'location#general']","['positive', 'positive']",explicit
hotel,rooms are a little tired but clean and the bed was surprisingly comfortable.,none,['null'],['null'],objective
hotel,"a doggie hotel , not for people the smell and stains in hallways and in rooms tells everything .  .  .  .  .","['hotel', 'hallways', 'hallways', 'rooms', 'rooms']","['hotel#general', 'hotel#cleanliness', 'hotel#cleanliness', 'rooms#cleanliness', 'rooms#cleanliness']","['negative', 'negative', 'negative', 'negative', 'negative']",explicit
hotel,the adolphus has spoiled me.,none,['null'],['null'],objective
hotel,"overall impression is good apart from the neighbiurhood which is bit rough , but no troubl","['null', 'neighbiurhood']","['hotel#general', 'location#general']","['positive', 'negative']",mixed
hotel,room was very clean .,['room'],['rooms#cleanliness'],['positive'],explicit
hotel,"fantastic, fantastic, fantastic for our first trip to venice, and a special anniversary and birthday holiday, i cannot imagine any place could have been better.",none,['null'],['null'],objective
hotel,"great hotel in the middle of nowhere stayed here for a long weekend and was very impressed by the hotel , modern , fun and great rooms sizes although it does have a bit of a conference centre","['hotel', 'hotel', 'rooms', 'null']","['hotel#general', 'hotel#design_features', 'rooms#design_features', 'facilities#design_features']","['positive', 'positive', 'positive', 'positive']",mixed
hotel,"got a good deal on the internet , but wish i would ' ve paid more and gone somewhere else .",none,"['hotel#prices', 'hotel#general']","['positive', 'negative']",implicit
hotel,"best hotel we ' ve ever stayed in this hotel is absolutely suberb - perfect location ( 10 min walk to main shopping street and 15 - 20 min walk to forbidden city / tian ' anmen square )  ; very efficient , helpful and friendly staff who speak good english ; and the rooms / leisure facilities are excellent .","['hotel', 'hotel', 'staff', 'staff', 'staff', 'staff', 'rooms', 'leisure facilities', 'hotel']","['hotel#general', 'location#general', 'service#general', 'service#general', 'service#general', 'service#general', 'rooms#general', 'facilities#general', 'location#general']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive']",explicit
hotel,the staff was so helpful and the room was magnificent.,none,['null'],['null'],objective
hotel,nothing seems to be too much trouble.,none,['null'],['null'],objective
hotel,"pool not worth factoring into your hotel choice as is tiny , but a nice roof terrace .",none,"['facilities#design_features', 'facilities#design_features']","['negative', 'positive']",implicit
hotel,go to the blue mountains in sydney and use oz trails for the trip - superb.,none,['null'],['null'],objective
hotel,myself and my husband are going back in the summer to the same hotel .,['hotel'],['hotel#general'],['positive'],explicit
hotel,say hi to leonard for us.,none,['null'],['null'],objective
hotel,we got an ok room ( big enough ) but with no window .,"['room', 'room']","['rooms#design_features', 'rooms#general']","['positive', 'negative']",explicit
hotel,"and we find aston bhavana , perfecly located in prime area in seminyak .","['aston bhavana', 'null']","['hotel#general', 'location#general']","['positive', 'positive']",mixed
hotel,"the afternoon tea is great , the restaurant is pretty good too .","['restaurant', 'tea']","['food_drinks#quality', 'food_drinks#quality']","['positive', 'positive']",explicit
hotel,"when we stayed, they did a special weekend rate of 85 euros pp for three nights including breakfast arriving on friday and leaving on monday which offered good value for money.",none,['null'],['null'],objective
hotel,si puo' trovare di meglio,none,['null'],['null'],objective
hotel,staff were friendly and it was clean and well,['staff'],['service#general'],['positive'],explicit
hotel,only stayed one night but were treated with the utmost courtesy and friendliness by the staff .,"['staff', 'staff']","['service#general', 'service#general']","['positive', 'positive']",explicit
hotel,the staff were friendly  helpful and the hotel is in a great location .,"['staff', 'staff', 'hotel']","['service#general', 'service#general', 'location#general']","['positive', 'positive', 'positive']",explicit
hotel,not what i expected unfortunately .,none,['hotel#general'],['negative'],implicit
hotel,excellent,none,['hotel#general'],['positive'],implicit
hotel,"scenery lush and tropical, great for strolling around",none,['null'],['null'],objective
hotel,viva porta,none,['null'],['null'],objective
hotel,decent balance of cost / location / quality,"['null', 'location', 'null']","['hotel#prices', 'location#general', 'hotel#quality']","['positive', 'positive', 'positive']",mixed
hotel,i upgraded to business floor and had a wonderful room and access to wireless and a printer .,['room'],['rooms#quality'],['positive'],explicit
