dataset,domain,sentence,aspect,category,type,source_dataset,language
acos,laptops,"it boots in seconds , and i get ~ 10 hours out of the battery .",boots, os operation_performance,explicit,acos,English
acos,laptops,i  ve had this device for 5 days so i  ll keep my review simple .,device, laptop general,explicit,acos,English
acos,laptops,i absolutely love everything about this chromebook .,chromebook, laptop general,explicit,acos,English
acos,laptops,"the build quality is top notch , screen looks wonderful , the keyboard feels comfortable and the back lit keys are a nice touch .",build quality, laptop quality,explicit,acos,English
acos,laptops,a + device and i would highly recommend it .,device, laptop general,explicit,acos,English
acos,laptops,"i am happy to say that this is a really well built , capable machine and i am very very happy with this chromebook .",machine, laptop quality,explicit,acos,English
acos,laptops,"in all , this is really great machine and i am very very pleased with hardware and chrome os so far .",machine, laptop general,explicit,acos,English
acos,laptops,it  s super portable and sleek .,NULL, laptop portability,implicit,acos,English
acos,laptops,i have to say that the keyboard is my favorite feature .,keyboard, keyboard general,explicit,acos,English
acos,laptops,please note that the track pad is way better than most .,track pad, hardware general,explicit,acos,English
acos,laptops,i just got this yesterday and i am very satisfied with the speed .,speed, laptop operation_performance,explicit,acos,English
acos,laptops,i use this for leisure activities and the ability to flip this around to watch movies is awesome !,NULL, laptop operation_performance,implicit,acos,English
acos,laptops,"good screen quality for reading , fairly fast i3 processor , and decent battery life .",screen quality, display quality,explicit,acos,English
acos,laptops,i absolutely love this laptop .,laptop, laptop general,explicit,acos,English
acos,laptops,"lightweight , gorgeous , great screen / picture quaity , sound could be louder but still good , fast processor ( i do a lot of research , photo processing , netflix watching and reading on the laptop ) .",NULL, laptop design_features,implicit,acos,English
acos,laptops,"pros : light - sensor back - lit keyboard , great battery , fast startup , average - student friendly",back - lit keyboard, keyboard design_features,explicit,acos,English
acos,laptops,"cons : no caps lock key ( still haven  t found it , help ! )",caps lock key, keyboard design_features,explicit,acos,English
acos,laptops,"i purchased this machine on cyber monday for $ 375 ( $ 75 off the listing price at the time of this review ) and i think at that price point , it  s well worth it .",machine, laptop quality,explicit,acos,English
acos,laptops,"the startup time is ridiculously fast , and just opening the laptop will turn it on and get you going on chrome within 10 seconds - i  ve had as many as 12 tabs open , and it still ran smoothly .",startup time, os operation_performance,explicit,acos,English
acos,laptops,"the battery life is a huge selling point in my opinion : even after multiple shut - downs / start - ups throughout the day , i get about 10 hours total run - time , and charging only takes about an hour .",battery life, battery operation_performance,explicit,acos,English
acos,laptops,"all in all , this is a great laptop for the casual user , especially at this price point .",laptop, laptop miscellaneous,explicit,acos,English
acos,laptops,"if you want to watch movies or listen to music , this might not be the machine for you .",machine, laptop operation_performance,explicit,acos,English
acos,laptops,"the key features that drew me to this chromebook was design , a quality keyboard that had backlit keys , and a good processor .",keyboard, keyboard quality,explicit,acos,English
acos,laptops,i did not find the battery to last a full ten hours .,battery, battery operation_performance,explicit,acos,English
acos,laptops,"however , it charges insanely quickly : you can get a full charge in under an hour .",NULL, power_supply operation_performance,implicit,acos,English
acos,laptops,the touchscreen is great though and feels very intuitive .,touchscreen, display general,explicit,acos,English
acos,laptops,keyboard is fantastic .,keyboard, keyboard general,explicit,acos,English
acos,laptops,outstanding laptop .,laptop, laptop general,explicit,acos,English
acos,laptops,super easy to use .,NULL, laptop usability,implicit,acos,English
acos,laptops,"it starts up fast , goes seamlessly from computer mode to ` ` tent ` ` mode to tablet mode .",starts up, laptop operation_performance,explicit,acos,English
acos,laptops,it had everything i wanted and more .,NULL, laptop general,implicit,acos,English
acos,laptops,"battery lasts me all day , it  s big screen is easy on the eyes .",battery, battery operation_performance,explicit,acos,English
acos,laptops,this is a great chromebook !,chromebook, laptop general,explicit,acos,English
acos,laptops,"for me the extra storage , back light keyboard ( you  ll love it ) , 2 in 1 factor , and great build quality made it a no - brainer .",storage, hard_disc design_features,explicit,acos,English
acos,laptops,and the price is excellent for what you get .,NULL, laptop price,implicit,acos,English
acos,laptops,i  ve been using this for a couple of weeks and i must say i am very very pleased with the product .,product, laptop general,explicit,acos,English
acos,laptops,- great quality build .,quality build, laptop quality,explicit,acos,English
acos,laptops,- 360 degrees flipping is actually pretty practical,360 degrees flipping, laptop design_features,explicit,acos,English
acos,laptops,#NAME?,keyboard, keyboard design_features,explicit,acos,English
acos,laptops,#NAME?,touch screen, display general,explicit,acos,English
acos,laptops,#NAME?,side buttons, hardware operation_performance,explicit,acos,English
acos,laptops,#NAME?,battery life, battery operation_performance,explicit,acos,English
acos,laptops,- touch pad seems a little off to me .,touch pad, hardware operation_performance,explicit,acos,English
acos,laptops,other than that it  s everything i imagined and more .,NULL, laptop general,implicit,acos,English
acos,laptops,the m3 processor is pretty good ( decent speedometer score ) .,m3 processor, cpu general,explicit,acos,English
acos,laptops,the body of the chromebook feels solid due to the aluminium body .,body of the chromebook, laptop design_features,explicit,acos,English
acos,laptops,trackpad is nice and quiet and responsive .,trackpad, keyboard general,explicit,acos,English
acos,laptops,"as soon as i learned about c302 , i decided top bought it .",c302, laptop general,explicit,acos,English
acos,laptops,this little chromebook is amazing .,chromebook, laptop general,explicit,acos,English
acos,laptops,the battery lasts a solid 8 + hours unless you  re playing games its more like 4 - 5 .,battery, battery operation_performance,explicit,acos,English
acos,laptops,overall a good chromebook .,chromebook, laptop general,explicit,acos,English
acos,laptops,"outside of that , the keyboard is solid , the back lighting was not a selling point to me .",keyboard, keyboard design_features,explicit,acos,English
acos,laptops,the speakers overall are not very good .,speakers, multimedia_devices general,explicit,acos,English
acos,laptops,track pad is passable .,track pad, keyboard general,explicit,acos,English
acos,laptops,screen is nice .,screen, display general,explicit,acos,English
acos,laptops,i find it to be a little large when used in tablet mode .,tablet mode, laptop design_features,explicit,acos,English
acos,laptops,"overall , i am happy with it and would purchase it again .",NULL, laptop general,implicit,acos,English
acos,laptops,"i tried the unit at best buy and to be honest , it felt a bit flimsy as a laptop .",laptop, laptop general,explicit,acos,English
acos,laptops,the keyboard is awkward to the touch and the internals only has 32gb of hard drive .,keyboard, keyboard design_features,explicit,acos,English
acos,laptops,the sound isn  t great on both devices but they  ll suffice ; at least the asus speakers are side - firing and not coming from the bottom like the pro .,asus speakers, multimedia_devices design_features,explicit,acos,English
acos,laptops,so far i absolutely love it .,NULL, laptop general,implicit,acos,English
acos,laptops,"love how fast it is , love that it can do everything i  ve asked it to do so far in the two weeks i  ve owned it , and i love how compact and easy it is to carry around .",NULL, laptop operation_performance,implicit,acos,English
acos,laptops,it greatly exceeded my expectations .,NULL, laptop general,implicit,acos,English
acos,laptops,pro  s : this chromebook is very light .,chromebook, laptop design_features,explicit,acos,English
acos,laptops,i don  t know why google print is so touchy .,google print, software operation_performance,explicit,acos,English
acos,laptops,"the second is also a known trouble spot with android , and that is the microsd card .",microsd card, out_of_scope general,explicit,acos,English
acos,laptops,"overall excellent machine , great keyboard & trackpad , very fast , battery lasts for hours , but know what you  re getting into with chrome os .",keyboard, hardware general,explicit,acos,English
acos,laptops,this is a capable chromebook !,chromebook, laptop general,explicit,acos,English
acos,laptops,this asus chromebook c302ca does not skip a beat .,asus chromebook c302ca, laptop operation_performance,explicit,acos,English
acos,laptops,this is a good product based on my experience - i have used this for almost a whole month .,product, laptop general,explicit,acos,English
acos,laptops,the asus flip is perfect for me .,asus flip, laptop general,explicit,acos,English
acos,laptops,"so i went ahead and ordered the c302ca , and after a week of use there are no issues to report .",c302ca, laptop general,explicit,acos,English
acos,laptops,"i guess like anything else nothing will always be perfect , and so far this chromebook is everything i hoped for .",chromebook, laptop general,explicit,acos,English
acos,laptops,"for anyone wanting a small footprint 1080p chromebook , this one is hard to beat .",footprint 1080p chromebook, laptop general,explicit,acos,English
acos,laptops,i  m loving this thing .,NULL, laptop general,implicit,acos,English
acos,laptops,"superb quality , looks and feels like apple , keyboard is great , the touchpad is flawless and the screen is brilliant , battery life is great too .",quality, laptop quality,explicit,acos,English
acos,laptops,"yet , compare with other flip - style of chromebooks , the screen is sufficient for me to do my code .",screen, display usability,explicit,acos,English
acos,laptops,the biggest reason for me to pick this laptop over others is the light - weight design and its overall spec .,laptop, laptop design_features,explicit,acos,English
acos,laptops,"i like it , good construction , can load android apps .",construction, laptop design_features,explicit,acos,English
acos,laptops,the main complaints are the touch screen .,touch screen, display general,explicit,acos,English
acos,laptops,"i am a big chromebook enthusiast , and this is by far the best chromebook built to date .",chromebook, laptop general,explicit,acos,English
acos,laptops,asus hit all the right notes on this one .,asus, company general,explicit,acos,English
acos,laptops,great keyboard .,keyboard, keyboard general,explicit,acos,English
acos,laptops,great display .,display, display general,explicit,acos,English
acos,laptops,great build materials and quality .,build materials, laptop quality,explicit,acos,English
acos,laptops,excellent choice in processor .,processor, cpu general,explicit,acos,English
acos,laptops,i  m very happy i chose this unit .,unit, laptop general,explicit,acos,English
acos,laptops,battery life is great if you use half of the brightness .,battery life, battery operation_performance,explicit,acos,English
acos,laptops,"after purchasing , this chromebook came with me on a 2 week trip to china .",chromebook, laptop general,explicit,acos,English
acos,laptops,the keyboard has a nice quiet touch .,keyboard, keyboard operation_performance,explicit,acos,English
acos,laptops,it fit nicely into my backpack without taking up space or weighing me down .,NULL, laptop portability,implicit,acos,English
acos,laptops,chrome os is intuitive and easy to use .,chrome os, os usability,explicit,acos,English
acos,laptops,"this little silver bullet is compact , functional , and has held up to everything i  ve thrown at it .",silver bullet, laptop operation_performance,explicit,acos,English
acos,laptops,chrome extensions are great productivity tools to boot - they help me squeeze the most out of everyday .,chrome extensions, software general,explicit,acos,English
acos,laptops,the reason for a 4 star rating is due to the provided power cord failing to charge within two months .,power cord, power_supply operation_performance,explicit,acos,English
acos,laptops,"the speakers are not great , but bluetooth connection to an external speaker is standard these days and it  s how we watch movies .",bluetooth connection, ports connectivity,explicit,acos,English
acos,laptops,"extremely disappointed that you can not run android apps on this chromebook , despite the description stating clearly that you can , and the seller responding to my question regarding this question .",seller, support general,explicit,acos,English
acos,laptops,other than that i  m pleased with the performance .,performance, laptop general,explicit,acos,English
acos,laptops,"this chromebook is amazing , i have had zero issues with it thus far and i  ve used it quite extensively during the semester .",chromebook, laptop general,explicit,acos,English
acos,laptops,the keyboard on this thing is my favorite part of the computer .,keyboard, keyboard general,explicit,acos,English
acos,laptops,it feels amazing and the travel is perfect .,NULL, laptop operation_performance,implicit,acos,English
acos,laptops,this biggest weak point and my only major complaint is that the speakers on it just suck .,speakers, multimedia_devices general,explicit,acos,English
acos,laptops,"they are loud enough to fill a small , quiet room , but that is about it .",NULL, multimedia_devices operation_performance,implicit,acos,English
acos,laptops,"overall , i am very happy with this purchase , and i am in love with the simplicity of the google ecosystem .",NULL, laptop general,implicit,acos,English
acos,laptops,this battery lasts for 5 + hours on some of the most taxing apps my phone can run .,battery, battery operation_performance,explicit,acos,English
acos,laptops,"the pic quality is pretty good , though not 4k , the sound is pretty good for a laptop that is less than a half inch thick and weighs less than 3 pounds .",sound, multimedia_devices general,explicit,acos,English
acos,laptops,the touchscreen is great and the backlit keyboard is fantastic .,touchscreen, display general,explicit,acos,English
acos,laptops,asus is a great computer company .,asus, company general,explicit,acos,English
acos,laptops,"while i hate that it doesn  t have a caps key , so i have to keep using the shift key to capitalize my letters , the device itself is lightweight , has a very nice backlit keyboard , and works well for the purposes of taking it on the road and using it with wifi at your local coffeeshop .",device, laptop design_features,explicit,acos,English
acos,laptops,"the aluminum construction is every bit as nice as my 12 ` ` macbook , the keyboard is excellent and has better travel / feedback and the trackpad is the best i  ve used on any asus portable .",keyboard, keyboard general,explicit,acos,English
acos,laptops,"the 1080p screen is bright and has decent viewing angles , the hinge is smooth and solid enough to not shake when typing on your lap .",1080p screen, display quality,explicit,acos,English
acos,laptops,i  ve found the touch screen is pretty handy .,touch screen, display usability,explicit,acos,English
acos,laptops,"it  s very quick , despite the dsl internet connection we have .",NULL, laptop operation_performance,implicit,acos,English
acos,laptops,i  ve only utilized the 360 degree opening once and so far i like it .,NULL, laptop general,implicit,acos,English
acos,laptops,"this is my first chromebook , and i  m absolutely loving it .",this, laptop general,explicit,acos,English
acos,laptops,"i  m beyond satisfied with this chromebook , it is stunning in every way .",chromebook, laptop general,explicit,acos,English
acos,laptops,no problems with play store / android apps .,play store / android apps, software general,explicit,acos,English
acos,laptops,"light weight , very convenient to use .",NULL, laptop design_features,implicit,acos,English
acos,laptops,nice keyboard .,keyboard, keyboard general,explicit,acos,English
acos,laptops,i would never have thought that a chromebook would be so fun to use .,NULL, laptop operation_performance,implicit,acos,English
acos,laptops,its really quick at loading web pages .,NULL, laptop operation_performance,implicit,acos,English
acos,laptops,i love how much you can customize this and also it is pretty speedy !,NULL, laptop operation_performance,implicit,acos,English
acos,laptops,definitely the best chromebook out there .,chromebook, laptop general,explicit,acos,English
acos,laptops,i  d say the only drawback might be the speakers .,speakers, multimedia_devices general,explicit,acos,English
acos,laptops,love the backlit keyboard not a lot of screen wobble - was a bit worried about the screen ratio in tablet mode but it  s just fine .,backlit keyboard, keyboard general,explicit,acos,English
acos,laptops,this unit is extremely well built .,unit, laptop design_features,explicit,acos,English
acos,laptops,"the speed at which this charges and reboots is amazing , and the battery life is long .",charges, power_supply operation_performance,explicit,acos,English
acos,laptops,the keyboard is also one of the nicest most comfortable i have ever used .,keyboard, keyboard usability,explicit,acos,English
acos,laptops,"in closing , if you are looking for a nice on the go computer or something to take to college , this is an excellent choice .",computer, laptop general,explicit,acos,English
acos,laptops,the screen is crisp and bright .,screen, display quality,explicit,acos,English
acos,laptops,battery life is good at about 10 hours .,battery life, battery operation_performance,explicit,acos,English
acos,laptops,"the keyboard is spacious , and has a nice tactile feel .",keyboard, keyboard design_features,explicit,acos,English
acos,laptops,running android apps themselves are a pretty ` ` meh ` ` experience .,android apps, software operation_performance,explicit,acos,English
acos,laptops,games are hit and miss .,games, software general,explicit,acos,English
acos,laptops,"as far as a chromebook device this is the chromebook to get in early 2017 , and worth every bit of the $ 499 price tag imho .",chromebook device, laptop general,explicit,acos,English
acos,laptops,a great chromebook .,chromebook, laptop general,explicit,acos,English
acos,laptops,"looks wise it  s beautiful , i love the minimal design and layout .",NULL, laptop design_features,implicit,acos,English
acos,laptops,"the keyboard feels nice to use , the keys have a satisfying travel .",keyboard, keyboard usability,explicit,acos,English
acos,laptops,touchpad is nice and responsive .,touchpad, laptop operation_performance,explicit,acos,English
acos,laptops,the included charger charges it very quickly though .,included charger, power_supply operation_performance,explicit,acos,English
acos,laptops,"definitely recommend this chromebook , it  s a beautiful machine .",chromebook, laptop general,explicit,acos,English
acos,laptops,but this asus c302ca has blown me away .,asus c302ca, laptop general,explicit,acos,English
acos,laptops,portability is also great due to the fact it  s slim and very light and the fact it  s a convertible is added value .,NULL, laptop general,implicit,acos,English
acos,laptops,it  s now been totally reliable for half a year or so .,NULL, laptop operation_performance,implicit,acos,English
acos,laptops,the build quality on this laptop is awesome for the price .,build quality, laptop price,explicit,acos,English
acos,laptops,"the keyboard is clicky , has decent amount of travel , and is backlit .",keyboard, keyboard design_features,explicit,acos,English
acos,laptops,"the screen is very good all around , though it may get bright enough for comfortable outdoor use in direct sunlight .",screen, display usability,explicit,acos,English
acos,laptops,the processor is very snappy and will likely never be an issue for anything a normal chromebook user would need it for .,processor, cpu operation_performance,explicit,acos,English
acos,laptops,the screen wasn  t as clear or bright as i hoped .,screen, display design_features,explicit,acos,English
acos,laptops,it starts up right away and has decent battery life that looks nice .,starts up, os operation_performance,explicit,acos,English
acos,laptops,"when it has served me well , this asus chromebook flip c302ca is amazing .",asus chromebook flip c302ca, laptop operation_performance,explicit,acos,English
acos,laptops,"downloading android apps was easy after doing a standard os update , and really adds to the chrome experience .",downloading android apps, software usability,explicit,acos,English
acos,laptops,"touchscreen is phenomenal and although awkward to hold when in full tablet mode , a neat feature to have .",touchscreen, display general,explicit,acos,English
acos,laptops,speakers are nice and loud .,speakers, multimedia_devices operation_performance,explicit,acos,English
acos,laptops,i give it 4 stars because i believe that these devices are perfect for adults who just want to surf the internet or watch netflix .,devices, laptop general,explicit,acos,English
acos,laptops,not having to switch to / from desktop version of websites is great .,websites, software design_features,explicit,acos,English
acos,laptops,overall it has been a wonder experience and quality product .,product, laptop quality,explicit,acos,English
acos,laptops,the chromebook looks very nice and works very well .,chromebook, laptop design_features,explicit,acos,English
acos,laptops,i use it mostly when traveling it works well for that purpose .,NULL, laptop portability,implicit,acos,English
acos,laptops,i went with this one because keys are better and i like the laptop feel and look to it .,keys, keyboard general,explicit,acos,English
acos,laptops,"this laptop will be for school , netflix and youtube mostly .",laptop, laptop general,explicit,acos,English
acos,laptops,i bought this for $ 389 on cyber monday 2017 .,NULL, laptop price,implicit,acos,English
acos,laptops,if you  re on the fence i recommend this asus .,asus, laptop general,explicit,acos,English
acos,laptops,"there is plenty of room for positives , it looks sharp , runs great and is the perfect size for traveling and working on the go .",NULL, laptop design_features,implicit,acos,English
acos,laptops,"the negatives , the battery will need charging what feels like every 6ish hours depending on use and the speakers are insufficient .",battery, battery operation_performance,explicit,acos,English
acos,laptops,"i run around with it a lot , it doesn  t just sit on a desk , and it  s portability , ease of use , and flexibility in how i use it has been wonderful .",NULL, laptop usability,implicit,acos,English
acos,laptops,this is the first laptop i  ve had that i enjoy so much that i use it when i  m not working too .,laptop, laptop usability,explicit,acos,English
acos,laptops,"typing is responsive , the touchescreen is a joy and it  s fast .",typing, keyboard operation_performance,explicit,acos,English
acos,laptops,this is exactly what i needed .,NULL, laptop general,implicit,acos,English
acos,laptops,the keyboard has excellent travel and just feels right .,keyboard, keyboard operation_performance,explicit,acos,English
acos,laptops,the support of the play store in beta is also a nice addition like icing on a cake .,support of the play store, software design_features,explicit,acos,English
acos,laptops,i highly recommend this product to any one whose needs are simple and mostly web based .,product, laptop general,explicit,acos,English
acos,laptops,screen is very close to retina display not exactly but close .,screen, display design_features,explicit,acos,English
acos,laptops,i have been using this notebook for a month and i absolutely love it !,notebook, laptop general,explicit,acos,English
acos,laptops,"i use this for work , school , and to just watch videos or read books !",NULL, laptop general,implicit,acos,English
acos,laptops,android apps from google play also running well with latest chrome update .,android apps, software operation_performance,explicit,acos,English
acos,laptops,everything is very smooth and fast .,NULL, laptop operation_performance,implicit,acos,English
acos,laptops,"i  m also using it to make apps so i installed ubuntu with android studio and intellij in it , the performance is still very acceptable and i  m so satisfied i can carry it around as a tablet and i can sit down write code with it whenever i want , best of both worlds .",NULL, laptop portability,implicit,acos,English
acos,laptops,"it  s fast , the display looks like a macbook pro , as does the aluminum case .",display, display design_features,explicit,acos,English
acos,laptops,"however , my unit had several issues .",unit, laptop operation_performance,explicit,acos,English
acos,laptops,"when i put it into tablet mode , everything is great .",tablet mode, laptop operation_performance,explicit,acos,English
acos,laptops,"however , when i switch back to laptop mode , the keyboard and trackpad are completely disabled and require a reboot to work again .",keyboard, keyboard operation_performance,explicit,acos,English
acos,laptops,the volume and backlit - keyboard brightness controls also do not work properly .,volume, multimedia_devices operation_performance,explicit,acos,English
acos,laptops,i did not expect to have to return this product for an exchange the same day i got it .,product, laptop general,explicit,acos,English
acos,laptops,"i love this laptop because of its size , speed , battery life , and backlit keyboard .",laptop, laptop general,explicit,acos,English
acos,laptops,it also has enough power to multi - task .,NULL, laptop design_features,implicit,acos,English
acos,laptops,"the keyboard makes it easy to type notes quickly and write papers , and the backlit keyboard is a major plus .",keyboard, keyboard usability,explicit,acos,English
acos,laptops,"even though i was upset at first for receiving a lemon , the performance of the working unit far outweighs any cons .",NULL, laptop general,implicit,acos,English
acos,laptops,"i have to say , this is a very nice product .",product, laptop general,explicit,acos,English
acos,laptops,"well designed , nice fit and finish , and the build quality seems exceptional .",NULL, laptop design_features,implicit,acos,English
acos,laptops,"but now , i  m totally satisfied with this chromebook !",chromebook, laptop general,explicit,acos,English
acos,laptops,"the look and feel of it are every bit as ` ` sleek ` ` as a mac , which my son and daughters have - - - - - - - but this is about 1 / 4 of the price .",NULL, laptop price,implicit,acos,English
acos,laptops,this asus worked right out of the box and was very responsive .,asus, laptop operation_performance,explicit,acos,English
acos,laptops,i am very impressed with this computer .,computer, laptop general,explicit,acos,English
acos,laptops,"very fast , terrific screen , smooth operation .",NULL, laptop operation_performance,implicit,acos,English
acos,laptops,the screen looks fantastic and movies look great .,screen, display design_features,explicit,acos,English
acos,laptops,the back lit keyboard is one of the nicest keyboards i have ever typed on .,back lit keyboard, keyboard general,explicit,acos,English
acos,laptops,most of my android apps have worked well ( i have had minor issues with a couple ) .,android apps, software operation_performance,explicit,acos,English
acos,laptops,the computer itself looks great .,computer, laptop design_features,explicit,acos,English
acos,laptops,the only complaint i have is relatively minor in that the screen is a little small for my taste .,screen, display design_features,explicit,acos,English
acos,laptops,"my first chromebook , and so far ( about one month of use ) i like it .",chromebook, laptop general,explicit,acos,English
acos,laptops,"good size , responsive keyboard , great screen , easy to use .",size, laptop design_features,explicit,acos,English
acos,laptops,"track pad is a little spongy , but definitely not a showstopper .",track pad, hardware operation_performance,explicit,acos,English
acos,laptops,so far i really love this product !,product, laptop general,explicit,acos,English
acos,laptops,the trackpad works well and the screen display is great too .,trackpad, hardware operation_performance,explicit,acos,English
acos,laptops,i love the screen quality and it is very fast for browsing .,screen quality, display quality,explicit,acos,English
acos,laptops,it is so fast .,NULL, laptop operation_performance,implicit,acos,English
acos,laptops,"i did have to call asus customer service when i had a problem , and they were very helpful and solved my problem .",asus customer service, support general,explicit,acos,English
acos,laptops,"as a former google chrome ninja , i can tell you that this chromebook is the culmination of the intent and desire for this platform .",chromebook, laptop general,explicit,acos,English
acos,laptops,i really can  t say enough about this awesome laptop .,laptop, laptop general,explicit,acos,English
acos,laptops,i think the sound could be better .,sound, multimedia_devices operation_performance,explicit,acos,English
acos,laptops,"i didn  t want to spend much on this as it is my first laptop , but i was convinced by a few reviews to upgrade to this model as it has more ram and performs better in several areas .",performs, laptop operation_performance,explicit,acos,English
acos,laptops,"an awesome product , well built - well worth your time and money .",product, laptop general,explicit,acos,English
acos,laptops,backlit keyboard is great ; feels sturdy ; fast processing .,backlit keyboard, keyboard general,explicit,acos,English
acos,laptops,the keyboard is nice to type on .,keyboard, keyboard operation_performance,explicit,acos,English
acos,laptops,"this unit is ` ` pretty ` ` and stylish , so my high school daughter was attracted to it for that reason .",unit, laptop design_features,explicit,acos,English
acos,laptops,for now i  m okay with upping the experience & device to 3 out of 5 stars .,device, laptop general,explicit,acos,English
acos,laptops,"seems unlikely but whatever , i  ll go with it .",NULL, laptop general,implicit,acos,English
acos,laptops,this version has been my least favorite version i  ve had for the following reasons listed bellow the pros .,version, laptop general,explicit,acos,English
acos,laptops,- biggest disappointment is the track pad .,track pad, hardware general,explicit,acos,English
acos,laptops,should not of bought this chromebook .,chromebook, laptop general,explicit,acos,English
acos,laptops,after about 5 / 10 minutes of use the screen goes crazy and you have to force to power down and wait to restart .,screen, display operation_performance,explicit,acos,English
acos,laptops,i can not stand the trackpad or the keyboard keys .,trackpad, keyboard general,explicit,acos,English
acos,laptops,the keyboard is stiff and unresponsive to my typing at times .,keyboard, keyboard quality,explicit,acos,English
acos,laptops,the chromebook r 11 was hardly used and only a few months old .,chromebook r 11, laptop usability,explicit,acos,English
acos,laptops,one day it just would not power up .,NULL, battery operation_performance,implicit,acos,English
acos,laptops,some apps don  t work but the play store is still in beta right now,apps, software general,explicit,acos,English
acos,laptops,"what really did it was when i tried contacting acer support i was simply told ` ` try a restart ` ` and then ` ` call google , we can  t help you ` ` .",support, support general,explicit,acos,English
acos,laptops,returning it after one day,NULL, laptop general,implicit,acos,English
acos,laptops,but do not dare will only be good for playing games maybe it will get better .,it, laptop general,explicit,acos,English
acos,laptops,"after some use , the battery charge had logically gone down some ( down to about 80 % ) , and so i went back to my office to plug it in .",battery, battery operation_performance,explicit,acos,English
acos,laptops,asus customer support was through chat and cumbersome .,asus customer support, support general,explicit,acos,English
acos,laptops,i had it on my desk and was watching youtube videos and it went black .,NULL, laptop operation_performance,implicit,acos,English
acos,laptops,the screen is very dim however .,screen, display operation_performance,explicit,acos,English
acos,laptops,the brand new vivobook is dead in the water !,vivobook, laptop quality,explicit,acos,English
acos,laptops,don  t buy this machine .,machine, laptop general,explicit,acos,English
acos,laptops,sounds like a good deal for a $ 620 laptop but battery doesn  t perform as promised i am hardly getting 4 hrs .,laptop, laptop price,explicit,acos,English
acos,laptops,external speakers were decent sounding until right one gave away and now is heavily distorted at even mid vol .,external speakers, multimedia_devices general,explicit,acos,English
acos,laptops,screen is good .,screen, display general,explicit,acos,English
acos,laptops,keyboard is decent with good travel .,keyboard, keyboard portability,explicit,acos,English
acos,laptops,screen is amazing,screen, display general,explicit,acos,English
acos,laptops,thin bezels allow for a compact frame,bezels, laptop design_features,explicit,acos,English
acos,laptops,overall this is a good system for the price and i do recommend the ssd for the price .,system, os price,explicit,acos,English
acos,laptops,"but my main concerns for everyone is the heat and fan noises , both are very apparent and if you have this on your lap you better have a laptop tray or keep it on a desk .",fan, fans&cooling operation_performance,explicit,acos,English
acos,laptops,always loved asus and they build amazing machines .,asus, company general,explicit,acos,English
acos,laptops,if you can save for 750 - 800 i would recommend going up a bit in the asus line .,asus, company general,explicit,acos,English
acos,laptops,it seems like there is a problem with the processor because it constantly starts and stops while i  m trying to surf the web .,processor, cpu general,explicit,acos,English
acos,laptops,"bought this on may , barely used it and now 4 months later it  s randomly shutting down every few minutes .",NULL, laptop general,implicit,acos,English
acos,laptops,pros : lightweight and looks nice .,NULL, laptop portability,implicit,acos,English
acos,laptops,this computer is loud !,computer, laptop design_features,explicit,acos,English
acos,laptops,"i am so disgusted and disheartened by my dealings with asus support , it  s hard to believe .",asus support, support quality,explicit,acos,English
acos,laptops,returned because had it less than a month and it decided to go crazy and start typing by its self ect .,NULL, laptop operation_performance,implicit,acos,English
acos,laptops,this computer has wasted so much of my time already .,computer, laptop general,explicit,acos,English
acos,laptops,it still is nice looking with a textured cover and being black overall .,NULL, laptop design_features,implicit,acos,English
acos,laptops,it opens programs immediately .,NULL, os operation_performance,implicit,acos,English
acos,laptops,i do not think i will need to upgrade the ram .,ram, memory general,explicit,acos,English
acos,laptops,acer made a winner here !,acer, laptop general,explicit,acos,English
acos,laptops,buy this computer and you  ll be very happy with it .,computer, laptop price,explicit,acos,English
acos,laptops,+ backlight kb and travel feels pretty nice on the keys .,backlight kb, keyboard operation_performance,explicit,acos,English
acos,laptops,- an optical drive if you ever want to play a classic game or watch a dvd .,optical drive, optical_drives general,explicit,acos,English
acos,laptops,the ports were another thing that i was really excited to see fully included on a laptop in this price range .,ports, ports general,explicit,acos,English
acos,laptops,"i  ve been happy being able to plug in and run overwatch from time to time on this laptop , with higher settings .",laptop, laptop design_features,explicit,acos,English
acos,laptops,this is the best laptop for the price .,laptop, laptop price,explicit,acos,English
acos,laptops,i like that it  s got the 8th generation i5 cpu .,8th generation i5 cpu, cpu general,explicit,acos,English
acos,laptops,dedicated graphics card,graphics card, graphics general,explicit,acos,English
acos,laptops,the plastic that borders the screen kind of comes out ever so slightly .,screen, display design_features,explicit,acos,English
acos,laptops,it  s pretty fast for a laptop especially a laptop in this price point .,laptop, laptop operation_performance,explicit,acos,English
acos,laptops,i would knock a star for the hard drive size since it  s incredibly small but at this price you can easily pick up large one to add if you want to and it  s not like you aren  t warned when you buy it .,hard drive size, hard_disc miscellaneous,explicit,acos,English
acos,laptops,the picture clarity is amazing and the backlit keyboard is awesome .,picture clarity, display quality,explicit,acos,English
acos,laptops,"overall , this budget laptop ticks all the boxes and there is nothing on the market that is new with so many features crammed in at this price .",budget laptop, laptop general,explicit,acos,English
acos,laptops,can  t beat it for the price .,NULL, laptop price,implicit,acos,English
acos,laptops,also love that access to the hd / ssd and ram slots is really easy .,ram slots, memory design_features,explicit,acos,English
acos,laptops,acer seems to be the only one who puts together stuff like this .,acer, laptop general,explicit,acos,English
